satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
4,5,5,4,3,5,4,1,4,4,1,0.415308024,Behavioral
4,4,4,5,5,5,4,2,5,5,0,0.513489811,Behavioral
5,5,3,5,5,4,5,1,3,4,0,0.427280264,Behavioral
4,4,4,5,3,4,4,2,5,5,0,0.477752174,Behavioral
4,4,4,4,4,4,5,2,4,5,0,0.486136096,Behavioral
2,2,2,2,3,2,2,4,3,3,1,0.534514411,Behavioral
1,2,2,2,2,2,2,5,3,2,1,0.580776224,Behavioral
4,4,4,4,3,4,4,2,4,4,0,0.457399883,Behavioral
4,4,4,4,3,3,4,2,4,4,0,0.444352868,Behavioral
5,4,4,4,3,3,4,1,4,4,0,0.384304272,Behavioral
4,4,4,4,4,3,4,2,3,4,0,0.452601336,Behavioral
4,4,4,4,4,4,4,2,3,4,0,0.465268343,Behavioral
4,5,4,4,4,4,3,1,3,4,0,0.387356358,Behavioral
2,2,2,2,2,2,3,4,2,2,1,0.517757368,Behavioral
4,5,4,3,4,4,3,2,3,5,0,0.466373529,Behavioral
4,5,4,3,3,4,4,2,4,4,0,0.461631274,Behavioral
4,5,4,4,3,3,3,2,4,4,0,0.447158097,Behavioral
4,5,4,3,4,4,4,1,3,5,0,0.395248532,Behavioral
4,5,4,3,4,4,4,1,3,4,0,0.389353134,Behavioral
4,4,5,4,4,4,3,2,3,4,0,0.472114457,Behavioral
2,3,2,2,2,3,3,4,2,2,1,0.539925172,Behavioral
2,3,3,3,2,2,2,4,2,3,1,0.547953763,Behavioral
2,2,2,3,3,3,2,4,2,2,1,0.542111021,Behavioral
2,2,2,2,2,2,3,4,2,3,1,0.523441697,Behavioral
2,2,4,2,2,3,3,4,3,2,1,0.565380255,Behavioral
2,3,2,2,2,2,3,4,3,2,1,0.534219424,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,2,3,4,2,2,1,0.517757368,Behavioral
2,3,3,3,2,3,2,4,2,4,1,0.567035645,Behavioral
2,2,2,2,3,2,2,4,3,3,1,0.534514411,Behavioral
2,2,3,2,2,3,2,4,2,3,0,0.541588107,Behavioral
5,3,5,4,4,3,3,2,4,3,0,0.468201965,Behavioral
4,3,4,3,3,3,3,2,3,3,0,0.401071226,Behavioral
4,3,3,4,3,3,4,2,4,4,0,0.415453499,Behavioral
4,3,3,4,3,3,3,2,4,3,0,0.397940076,Behavioral
2,2,2,2,3,2,2,4,2,3,1,0.528036859,Behavioral
2,3,2,3,2,3,2,4,2,2,1,0.538900679,Behavioral
3,3,2,2,2,2,3,4,3,3,1,0.558477084,Behavioral
2,2,2,2,3,3,3,4,2,2,1,0.543108472,Behavioral
4,4,3,4,4,4,3,2,4,4,0,0.446581462,Behavioral
4,4,3,3,3,4,4,2,4,3,0,0.427690165,Behavioral
4,4,4,4,4,1,4,2,5,4,0,0.444014523,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
2,4,3,2,2,4,3,3,2,3,1,0.466091342,Behavioral
2,2,2,2,3,3,2,3,3,3,1,0.422976312,Behavioral
2,3,4,3,1,3,2,4,2,4,0,0.564692223,Behavioral
2,2,2,2,3,2,2,3,3,3,1,0.40963019,Behavioral
2,3,3,2,3,2,2,4,2,2,1,0.547400459,Behavioral
2,3,2,2,3,3,2,4,2,2,1,0.544690456,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,4,2,2,2,4,2,3,2,2,1,0.436095176,Behavioral
2,2,3,3,1,3,3,4,3,2,1,0.544238639,Behavioral
2,3,4,2,2,2,2,3,3,2,1,0.435353631,Behavioral
2,2,2,2,3,2,2,3,3,3,1,0.40963019,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
3,4,4,4,4,4,4,2,4,4,0,0.45363673,Behavioral
4,2,2,3,2,2,2,4,2,2,1,0.549271662,Behavioral
2,2,2,2,3,3,3,4,2,2,1,0.543108472,Behavioral
2,2,2,2,3,2,3,4,2,2,1,0.530884043,Behavioral
2,2,5,2,2,3,3,4,4,3,0,0.590283358,Behavioral
3,4,3,3,4,4,4,2,4,4,0,0.429697628,Behavioral
4,4,4,3,4,4,4,2,3,3,0,0.452281209,Behavioral
4,4,4,3,3,4,4,2,4,3,0,0.444124788,Behavioral
4,4,4,4,3,3,3,2,4,4,0,0.43452795,Behavioral
4,4,4,4,4,4,4,1,4,4,1,0.389227979,Behavioral
4,4,4,4,3,4,3,2,4,4,1,0.447973067,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,3,2,4,3,2,1,0.527184875,Behavioral
2,2,2,2,2,2,2,3,2,2,1,0.384362782,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,4,4,4,4,4,2,4,3,0,0.465725081,Behavioral
2,2,3,2,2,2,3,4,2,2,1,0.532154484,Behavioral
4,4,3,4,4,4,4,2,4,4,0,0.456047233,Behavioral
2,2,3,3,2,2,2,3,3,2,1,0.412596818,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,3,4,3,4,3,2,4,3,0,0.425429914,Behavioral
4,4,4,4,4,3,4,2,4,4,0,0.458811125,Behavioral
4,4,4,4,4,3,3,2,4,4,0,0.449424396,Behavioral
4,4,3,4,4,4,4,2,3,4,0,0.449802346,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,3,4,4,4,4,4,2,4,4,0,0.460674515,Behavioral
2,2,2,2,2,3,3,3,2,2,1,0.407000008,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,4,4,4,4,2,3,4,0,0.465268343,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
2,2,3,2,2,2,2,4,3,2,1,0.529789927,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,4,4,4,4,4,2,4,3,0,0.465725081,Behavioral
5,4,4,4,5,4,4,1,4,4,0,0.419889596,Behavioral
3,4,3,3,4,4,4,3,3,3,0,0.540427807,Behavioral
2,2,3,3,2,3,3,4,3,3,1,0.56692559,Behavioral
2,2,2,2,2,2,2,3,2,2,1,0.384362782,Behavioral
4,3,3,3,3,4,4,2,4,4,0,0.421807381,Behavioral
2,2,2,3,2,3,2,3,3,2,1,0.409703953,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,4,3,3,4,2,4,4,0,0.444352868,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,4,3,4,3,4,2,3,4,0,0.445103375,Behavioral
4,4,3,4,3,4,4,2,4,4,0,0.441464162,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
2,2,4,3,3,2,2,4,2,3,1,0.565497442,Behavioral
3,4,4,4,4,4,4,3,4,4,0,0.57951638,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,3,4,4,3,4,2,3,4,0,0.436516489,Behavioral
4,4,4,4,3,3,3,2,4,4,0,0.43452795,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
